Australia,Brazil,China,Germany,India,South Africa,United States
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00000167,0,0,0,0,0,0
0.002569225,0.002350833,0,0,0,0,0
0.023418994,0.031578007,0,0,0.00015307,0.007197871,0
0.085204435,0.101938309,0.0000016,0,0.013624341,0.070530459,0.00035891
0.186186289,0.189420977,0.004332983,0,0.08736332,0.197629216,0.004745089
0.34443886,0.282312149,0.034771597,0.003321011,0.215752665,0.364605291,0.024245112
0.468268247,0.354363645,0.099167319,0.026270638,0.337075305,0.501570144,0.077434013
0.559143512,0.391207499,0.19537865,0.055120828,0.427874921,0.615655231,0.150158053
0.592377896,0.409415121,0.288279214,0.081478762,0.446893336,0.666307384,0.212697781
0.583841751,0.384666518,0.339761428,0.094690672,0.424088035,0.672987483,0.248451363
0.519190346,0.334414007,0.348425537,0.08461855,0.353853412,0.632964368,0.246039591
0.423563489,0.266503628,0.304561506,0.056718949,0.249367684,0.544810412,0.210726921
0.302683219,0.171203727,0.228165942,0.025064512,0.133078594,0.417518352,0.150096268
0.184854089,0.07899198,0.138434878,0.001739211,0.041996867,0.27770259,0.077721835
0.086864856,0.01987249,0.062780343,0,0.002671531,0.143025489,0.023111968
0.025605084,0.001079529,0.015888869,0,0,0.042159002,0.002738481
0.003227567,0.000000216,0.000635228,0,0,0.002785456,0.000387216
0.0000416,0,0,0,0,0,0.000103262
0,0,0,0,0,0,0.0000189
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00000155,0,0,0,0,0,0
0.002396206,0.002473724,0,0,0,0,0
0.023621869,0.039304619,0,0,0.000149614,0.006713976,0
0.092948397,0.129281612,0.00000187,0,0.014182493,0.069726959,0.00040943
0.210541603,0.243845265,0.004674685,0,0.091268353,0.2028864,0.005933322
0.352840948,0.352065063,0.040626292,0.005047455,0.222724186,0.357514867,0.039074976
0.483581405,0.432036981,0.113541157,0.030314326,0.351748379,0.492157614,0.11786151
0.573438269,0.468947598,0.216618054,0.059269927,0.44170022,0.602055008,0.207521078
0.610676214,0.476553957,0.310658343,0.081895918,0.466508946,0.657467976,0.277803213
0.603938127,0.427789316,0.35913217,0.089389478,0.438472866,0.668681381,0.303998393
0.545628222,0.371810261,0.361082337,0.084328747,0.363270362,0.61909375,0.292789662
0.445345672,0.263277276,0.312099891,0.058209268,0.256937524,0.530158483,0.243927171
0.325512039,0.170753008,0.226484921,0.026784709,0.137098028,0.410044868,0.167956499
0.19820885,0.079618266,0.134032193,0.001970698,0.043301533,0.270180656,0.082781936
0.088886895,0.020410255,0.058570718,0,0.002862784,0.14245764,0.02342971
0.02581827,0.001117213,0.013360015,0,0,0.040507496,0.002983359
0.003239693,0.000000256,0.000583298,0,0,0.002802614,0.00042968
0.0000427,0,0,0,0,0,0.0000936
0,0,0,0,0,0,0.0000176
0,0,0,0,0,0,6.98E-10
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00000114,0,0,0,0,0,0
0.002335316,0.002330905,0,0,0,0,0
0.023762747,0.035301652,0,0,0.000142864,0.006038091,0
0.096307667,0.113935116,0.00000194,0,0.014179153,0.062599629,0.000361821
0.217295467,0.214222176,0.004644049,0,0.092190389,0.184429172,0.007671428
0.361202504,0.318310093,0.038899001,0.004481524,0.231107948,0.34888737,0.048661639
0.493672521,0.392043794,0.107947567,0.03294939,0.362081663,0.480968933,0.135138926
0.584868028,0.424185399,0.206329943,0.06764236,0.453150423,0.592667457,0.232445968
0.622004195,0.433887575,0.300501551,0.097373484,0.488169106,0.648148209,0.305085604
0.610661213,0.402553463,0.35192102,0.101546425,0.460140941,0.656500615,0.332742514
0.554968287,0.355747249,0.355319791,0.090895677,0.383817572,0.610947081,0.313958724
0.458952482,0.263457261,0.306808194,0.059520688,0.274669452,0.516274941,0.254447335
0.322892778,0.165911213,0.221414833,0.023024132,0.144311406,0.388528264,0.168250808
0.196569726,0.079046127,0.132359692,0.001341999,0.043109358,0.246075629,0.078075499
0.088558835,0.020300988,0.059501098,0,0.003001934,0.125414348,0.020889002
0.025560481,0.001129779,0.01457186,0,0,0.037339032,0.002723364
0.003172085,0.000000272,0.000663719,0,0,0.002897507,0.00035155
0.0000461,0,0,0,0,0,0.0000709
0,0,0,0,0,0,0.0000136
0,0,0,0,0,0,5.09E-10
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.000000679,0,0,0,0,0,0
0.002186024,0.002352343,0,0,0,0,0
0.0230996,0.036748869,0,0,0.000139392,0.006575092,0
0.097494387,0.119825762,0.00000187,0,0.014213972,0.065533011,0.000652285
0.219082047,0.225982612,0.004009186,0,0.092298795,0.193814989,0.01159506
0.363339264,0.33312312,0.033707825,0.00183019,0.227679793,0.346553378,0.055062653
0.493958548,0.4098513,0.096378991,0.01383065,0.352740651,0.48681419,0.135413132
0.585041093,0.441660614,0.190584159,0.032301265,0.441582909,0.605827309,0.222080465
0.630199866,0.443683855,0.278979005,0.050356604,0.475099374,0.665714056,0.285056781
0.621016018,0.421128767,0.326702818,0.060008812,0.450104244,0.676046292,0.309277745
0.557187946,0.361840918,0.333036837,0.053627447,0.380523452,0.626125478,0.28818849
0.460218619,0.27331393,0.293993668,0.039491436,0.274164755,0.527565177,0.230583723
0.334197817,0.169319966,0.218709781,0.017470211,0.144568909,0.39639192,0.15360421
0.203277663,0.078287476,0.132780797,0.001125071,0.043132269,0.259239546,0.073509895
0.090246498,0.020855267,0.05994193,0,0.003094125,0.138182662,0.020356764
0.02567317,0.001146647,0.014161487,0,0,0.043067241,0.00294992
0.00329502,0.000000309,0.00062711,0,0,0.002894775,0.000460914
0.0000462,0,0,0,0,0,0.000115678
0,0,0,0,0,0,0.0000219
0,0,0,0,0,0,1.54E-09
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.000000803,0,0,0,0,0,0
0.002082314,0.002351099,0,0,0,0,0
0.022274417,0.037256103,0,0,0.000137826,0.006383601,0
0.095378913,0.11648655,0.00000144,0,0.014002733,0.066957926,0.000397513
0.216809364,0.213941384,0.00316102,0,0.086019994,0.203870063,0.007468632
0.35985683,0.309596197,0.028211886,0.003768095,0.203578018,0.366654268,0.042173427
0.491737574,0.384341248,0.083025288,0.0374831,0.31681293,0.50687805,0.117079162
0.58372759,0.403946535,0.166897102,0.084173341,0.391676429,0.620288509,0.199870915
0.624081456,0.430935261,0.250635353,0.1224486,0.412250143,0.661219515,0.260843928
0.617141931,0.405166992,0.2990966,0.129790424,0.390543646,0.661399376,0.290190438
0.562537884,0.364554261,0.30843765,0.112046048,0.32213456,0.620137642,0.271824674
0.459669294,0.268421239,0.275864176,0.073709327,0.229118371,0.523876289,0.22081929
0.341073954,0.1668868,0.207258295,0.030438449,0.122382819,0.399710979,0.145954455
0.207898054,0.079504074,0.127261281,0.002430784,0.039702928,0.256203209,0.069778835
0.094353022,0.020422121,0.056521759,0,0.003056743,0.134062583,0.020173498
