Australia,Brazil,China,Germany,India,South Africa,United States
0.456020007,0.080460336,0.104287551,0.823414679,0.066370225,0.218498155,0.397655004
0.450715109,0.079197034,0.1025972,0.578066525,0.065739705,0.202050354,0.401397906
0.43991373,0.077270722,0.099251894,0.552902176,0.062686222,0.249000646,0.405777277
0.426775161,0.075436217,0.09663814,0.51623142,0.057961562,0.22196073,0.408740052
0.411891151,0.07388763,0.095110631,0.497399099,0.052975832,0.203582306,0.417167068
0.393089388,0.07312981,0.094049037,0.463102291,0.0841589,0.189949612,0.411574487
0.364066496,0.076886122,0.089099321,0.444903421,0.081673219,0.179243895,0.412295977
0.308273347,0.072473968,0.089077787,0.416933721,0.080620892,0.141938923,0.413463232
0.287204998,0.070444101,0.146323724,0.388231811,0.073390607,0.14119757,0.414675199
0.148244947,0.065194849,0.134967492,0.363438878,0.058996492,0.144625075,0.410785967
0.115494191,0.060272681,0.117439511,0.327912119,0.054324643,0.147113812,0.400653571
0.090820976,0.05589581,0.115373713,0.251617247,0.046676073,0.156577998,0.410883596
0.080388837,0.051625172,0.119186462,0.227410714,0.037425819,0.172055338,0.419349565
0.078759788,0.047199149,0.130728872,0.211685399,0.030079232,0.184403459,0.424768491
0.083757585,0.042314548,0.146070566,0.192190384,0.025846257,0.207398077,0.42622103
0.092462169,0.039948903,0.156566817,0.181750849,0.021540043,0.224694926,0.424477411
0.102957443,0.037823553,0.16163415,0.199914432,0.024403759,0.237111537,0.39016171
0.115151409,0.037919431,0.164907276,0.228137711,0.032876354,0.230779772,0.402568398
0.139219681,0.052593543,0.153683459,0.267591465,0.052166021,0.216911024,0.417594015
0.164755236,0.070265879,0.153738131,0.307516552,0.070521476,0.21792446,0.422658444
0.220785561,0.08491784,0.153133107,0.331154899,0.084411352,0.240801153,0.423802139
0.270861527,0.09646707,0.155949323,0.354542909,0.092551804,0.255149455,0.423050277
0.30896348,0.099744132,0.157300024,0.378314032,0.095359373,0.253068553,0.41948419
0.327477676,0.09808589,0.160297737,0.40348985,0.095146403,0.239318095,0.412854238
0.337326576,0.094622155,0.160665742,0.423280965,0.090290885,0.19290005,0.409356386
0.335099058,0.090241495,0.159919283,0.43580032,0.085972812,0.184746587,0.404369864
0.328715006,0.087131186,0.157446982,0.444750279,0.080183989,0.178505367,0.39945011
0.317202046,0.085389421,0.157797284,0.460956132,0.074680208,0.165797455,0.393858922
0.301534457,0.083004511,0.155384191,0.467206474,0.070899502,0.150952922,0.381098489
