Australia,Brazil,China,Germany,India,South Africa,United States
52295.16355267639,157402.25289553282,1485230.047451538,78329.10463864949,686353.992,89736.01592930254,841703.1828684978
49576.99803156985,158994.0826538217,1441720.3773782044,76345.33025761688,668556.1929,86811.10083089118,821775.4092256649
47210.62913087991,157763.40546872438,1398565.4295435487,74030.54443854328,652910.9018,84786.82178769898,810331.1313977939
46060.47674365191,154998.2984353948,1367622.2246065668,71547.61013722605,649006.9094,84031.08461480551,806669.1534950242
45653.10777793348,152283.98769130284,1351988.9693231364,71439.18972389144,662401.8322,84184.8385909807,808453.3915881427
44892.22577431064,144503.3534246393,1364464.8089639272,70693.8928087877,715704.3483,83691.90899269615,820280.847036537
43376.13329300508,137800.14119031344,1432968.129254593,68119.03806875477,772970.1249,84062.39422757892,841519.4607302212
42250.89513213035,138927.8616406924,1546091.6096662742,68901.75709262482,833370.6574,88014.5819463392,859103.6441394226
41317.18578735368,141818.30315279803,1558708.4449075663,70204.9688558333,886970.4518,93337.72488413952,867281.0253808595
41455.97379157769,145036.7095200009,1599981.79534647,74733.85365223321,936882.7025,98079.36705174364,868064.357829505
42163.596709704354,148361.99047594744,1646648.2384859368,79584.88697789241,958814.7442,100176.90309332553,865831.5187246067
44032.26335417943,150541.15575504658,1684109.0975835302,84535.95961422031,951084.6206,100639.829613695,859541.9480606634
46430.10363235243,150039.02529371425,1630944.690721728,87922.8739367621,935072.2105,99571.755838015,849436.6161739113
48357.41917138667,149393.77371495444,1578297.503231351,87996.29404968572,910599.8656,96740.41722437103,837852.6206554841
51606.74098804347,149784.05059404348,1591720.2224240345,85206.56528187881,882500.1826,93733.0689832526,831369.6093293914
56213.41440145988,150347.55089180305,1611018.5328241994,85611.74870886319,863224.1162,92139.34028247138,833430.912541313
61571.6244389865,152305.97035958496,1649731.7920429094,91023.39447283233,839235.708,92576.2312865336,857034.7916561153
67458.08284865775,155690.01370224348,1739144.0679802806,98591.84104453298,822560.9316,95059.08233360753,909687.025786578
69840.47483089249,165112.4239772502,1801223.782074119,99989.0711591203,828737.9475,96606.8703604984,936515.7255693208
68737.27516454934,178372.9640824457,1822092.052664076,97511.34236713329,808693.1133,100315.4767479134,932508.5633926294
65982.66851844596,182398.74277219916,1774231.8955435902,93071.45684894516,762232.5313,97765.02365394264,919769.9285379988
62399.40340700728,182946.88579306487,1733490.8958017724,90240.828755174,724816.5977,91304.4411397275,896176.126151137
58613.37006468829,180897.56572818832,1672482.235166583,88359.80874442261,693030.2043,85937.28472370331,860722.7860772273
55769.9462605998,174297.33194789116,1577376.7415738471,82533.52954174927,664337.0062,82138.9618720592,826834.602008737
53785.72884902445,168886.5336033431,1441194.2947011755,84993.85060697052,644526.7969,76823.4338266635,784135.4214462842
50636.96349277207,162363.57198993172,1391104.2029306495,82009.9901686023,629224.9801,76104.90823755458,770307.4837218609
48565.58169539507,157949.67241204323,1343505.123643919,80751.56868050522,619080.433,75772.13242379502,764979.1509790922
47805.38194390971,154806.17699557872,1307784.7323349554,80819.37310598441,616227.2792,76675.06719949887,765502.0863980094
47851.96096795182,153681.64504658614,1288195.6955895424,83020.92623654314,633006.6863,77851.74286632703,776409.9686885502
47984.186057211664,151337.2703367009,1297808.7569509349,87647.90623028386,692113.214,79411.05364837112,813839.5541581996
47286.788143259226,152105.12189495147,1364633.5312359715,96445.49664261316,767551.6168,82427.18592566761,874155.2837089525
46424.46277903911,162899.0985454136,1479134.0885859593,106477.01205557208,853287.3202,86767.88280379916,921443.936966188
45859.86297850311,175463.05872632,1488326.73138014,113294.03593138709,906705.1436,92181.0592727981,936727.3315683656
