Australia,Brazil,China,Germany,India,South Africa,United States
51040.4805411198,148833.54903011685,1356269.8846967043,98997.3381045866,684569.0299409231,97089.81246534867,840050.1208005572
48448.488201832486,151287.0630710557,1310843.7641877772,97320.71008707127,666744.7048871514,93425.38635191768,820097.7813425725
46181.29028643524,150733.6619765627,1267609.6277209937,95018.61570000048,651098.3177222826,90819.8583068624,808652.4884436813
45118.64611160847,148566.18155565346,1235708.6928136349,92689.17520795134,647181.0692002102,89551.2285680345,804978.2339816119
44774.8872014987,146286.28789089783,1219090.0260641472,92738.68507173026,660562.3527333084,89332.1589686259,806749.8406831359
44058.42014486776,138808.98006164224,1228459.3608775334,92491.26258283923,713821.8711111065,88578.90984713963,818537.4757313046
42556.42888320417,132202.07037874992,1291598.9760134292,90776.04005800432,771013.4076512863,88866.74671649741,839707.3353435302
41387.93058391153,133034.3510153547,1401613.6347388374,92057.00482725247,831370.9103610016,93072.4855339147,857251.668654098
40328.09791500938,135063.4487418197,1412337.1641243212,93663.65361019134,884944.4991557461,99134.84726684156,865404.7807567064
40270.71672761598,136942.14165550077,1454409.242143992,98064.52764914236,934867.8051956026,105026.2526084966,866198.3516095085
40740.005970672704,138639.75198546425,1506434.8272147093,102056.66009994184,956874.023794981,108520.68120222849,864034.2080928757
42359.46707013717,139116.99853517348,1552314.5017955292,105658.46300678929,949260.4266160006,110444.22116582046,857852.553115723
44524.69540395409,137026.27330656754,1507887.7381395388,107645.0096044306,933368.9558919672,110739.50442525846,847859.2237748592
46266.078463357306,135111.21864428296,1463073.9832989194,106462.97833309475,909005.0350182204,108997.93080568484,836375.6402759153
49378.71392822592,134568.01283481307,1482162.9102107757,102765.1357609574,880983.7790733785,106791.71210170562,829965.260628083
53901.85783559042,134561.0586075725,1502936.7936967008,102933.83151313545,861728.1363601763,105687.55645372288,832045.4783159515
59235.04896741048,136348.61452491034,1538193.0804661743,108899.52057342048,837691.8795491839,106271.08524631496,855605.0445987624
65185.9094069007,140172.48363771764,1620967.4033908015,117531.82097154766,820925.2259832082,108376.47089421246,908172.190837742
67679.99519367793,150357.69306271762,1679490.180148246,119499.11559072202,827053.0096392628,109269.61268346642,934955.2963992676
66737.60690097588,164716.47473668327,1700838.9799360663,116944.37317346908,807014.8265349821,112035.69086929888,930954.2938347585
64143.69905344748,169839.7261775891,1651300.35945378,112773.4922213783,760531.0126054129,108543.369385127,918194.1437768544
60711.70380540648,171420.94819233447,1610689.3779953497,109922.02631088544,723116.8786131202,101196.1822168152,894602.0080154671
57071.948576926734,170370.61657946944,1549428.263902346,108081.4666011598,691326.9909569541,94971.67818633988,859145.431893881
54375.854209152414,164776.55112918626,1452482.0763827795,102550.19239077537,662608.3154633809,90309.84583592547,825233.6530869526
53064.14480670948,159039.9072925277,1400799.9076836405,97490.42944087715,644526.7969,84646.61834382259,868313.8250350301
49987.94324045845,153507.14014287904,1350109.523241784,94692.27808846286,629224.9801,83141.37923950932,855736.8452403971
47973.59592891472,149871.52450129826,1302485.639579925,93441.53018702232,619080.433,82190.25368358596,850460.2026668445
47263.72325531168,147414.7847503729,1266465.2570623956,93602.14116470136,616227.2792,82547.55829926068,851608.2937792194
47346.88522551247,146789.45813166664,1246567.5583916164,95899.18325717172,633006.6863,83327.61330765177,863159.4007859728
