Australia,Brazil,China,Germany,India,South Africa,United States
50481.50011047814,163004.12618021033,1387167.6297317962,85140.05791954687,686353.992,99972.26097962656,840713.8790551075
47945.71984934851,164032.6214787467,1342200.674252336,83257.49971336352,668556.1929,96017.97065577212,820771.4035719263
45722.70412144841,162359.16847855554,1298985.510700233,80946.8961941745,652910.9018,93184.61195023647,809326.5182571069
44699.04619079818,159203.35724924575,1267314.0396505883,78514.54382408786,649006.9094,91714.94504544736,805657.1932333997
44383.62653127982,156205.04212486895,1250931.4690069254,78458.16732349654,662401.8322,91349.74075815864,807433.8718500077
43686.947011395445,148226.10525690884,1261045.09563925,77876.93858878555,715704.3483,90494.45486978436,819237.4960856738
42191.23805829539,141459.93429526608,1325469.8083647834,75585.36470418311,772970.1249,90749.89627412656,840434.9627006777
41003.46670710062,142780.80139022588,1436229.314008574,76532.27427195082,833370.6574,95055.01885665554,857995.2971236208
39887.44417240428,146234.3547588607,1447406.4631814137,77935.47984297479,886970.4518,101407.13025933383,866158.1540758273
39742.66661620783,150328.6117940622,1489287.172947386,82422.18032353205,936882.7025,107749.2052838622,866947.6138759326
40105.77456956833,154717.998213234,1540028.7537375456,86990.173797661,958814.7442,111791.1702204632,864755.8868434435
41614.21079535136,158009.80937350792,1583891.3525893844,91496.61176765584,951084.6206,114287.22303897496,858530.9002036195
43675.80695783024,158546.2381536597,1537371.1248262338,94422.05272983074,935072.2105,115116.89781183646,848492.5981930624
45334.35425985321,158731.13266024995,1490680.5469451386,94081.75481800293,910599.8656,113802.47654447611,836968.6959982385
48386.09386889079,159731.68290353502,1508411.899256568,90992.76870412304,882500.1826,111910.27450287691,830529.1523662327
52872.02410648044,160668.12338150313,1528832.2481314123,91320.0206278046,863224.1162,110998.01553190344,832601.7752760323
58194.06893396925,162738.24655308796,1564916.7957455383,96914.2443084119,839235.708,111639.02155732526,856179.134603997
64173.62146064869,165834.7495313685,1649281.515079114,104833.2703682646,822560.9316,113596.45307381405,908780.4464024128
