Australia,Brazil,China,Germany,India,South Africa,United States
48268.99662972508,156154.9420178283,1363088.342601153,93697.18477204276,686353.992,91269.738294768,825879.8858671677
45955.70970068129,157872.2036028879,1317763.5497917412,91941.79226675162,668556.1929,88190.5893148936,805716.9654644135
43907.571729257405,156740.11470468767,1274533.6002330936,89636.44329405138,652910.9018,86045.08382904799,794262.9712619776
43038.225463584575,154062.0017122522,1242683.3029904785,87267.64091236335,649006.9094,85182.37676711848,790483.4807456641
42834.97554586456,151410.92727052607,1226116.737498126,87276.65120050448,662401.8322,85258.37392021011,792146.8097303972
42216.61718272808,143674.4469822024,1235650.3212698193,86901.55399748619,715704.3483,84711.15156675554,803593.0998059348
40745.77426929969,136985.25311306227,1299073.5293931032,84965.88773914821,772970.1249,85064.3994948875,824173.5916589012
39481.71814661611,138069.9676083732,1409252.559575149,86119.08257333425,833370.6574,89069.46833279384,841376.3254187282
38143.290198710594,140835.0268584533,1420076.1929462538,87647.91809110016,886970.4518,94546.7842060977,849321.39971955
37652.58860012866,143858.4166642449,1462106.0401694505,92081.61915630926,936882.7025,99528.22325771768,850202.7353302857
37595.41981361468,146946.76432094382,1513848.2735222294,96294.00779599472,958814.7442,101917.09797570744,848627.4581626476
38664.40788342492,148878.1883106392,1559282.8235176622,100241.81688014764,951084.6206,102684.65292768896,843370.8686530762
40315.81698525804,148144.81266163243,1514394.0780285986,102587.4732041306,935072.2105,101900.92359458708,834337.6377980206
41646.49162575646,147314.7210856572,1469166.1493095602,101727.38937204237,910599.8656,99296.86852575082,823714.797482171
44457.19901684155,147569.1147401797,1487955.4891397492,98262.42313228644,882500.1826,96456.60544706824,817927.0247917656
48795.83362582765,148049.57632573217,1508651.3552538345,98491.76368702084,863224.1162,94964.98307149274,820169.3795058285
54073.76020555941,149983.12389124976,1544090.421112745,104315.37411111368,839235.708,95432.45714306142,843349.0911830193
60166.87903849276,153431.1908570861,1627215.7098102295,112674.86026932205,822560.9316,97836.58325913288,895186.8543965896
62907.68657047636,162964.63865798168,1685926.551059676,114495.96778021104,828737.9475,99247.83697055692,921579.1211391856
62320.51639319504,176385.04525834258,1707249.9440238888,111960.97470550724,808693.1133,102759.86781012212,917630.919466678
60081.57799271325,180570.578529652,1657800.0682479686,107721.1103325634,762232.5313,100012.97677986968,904686.3386539136
56983.724507032966,181269.1025984374,1617182.2123860547,104874.9880632638,724816.5977,93367.4822435924,881108.4893945114
53667.08470719976,179365.20116191654,1555934.4461614017,103024.0527304995,693030.2043,87821.51571162108,845624.1735063916
51296.42804652647,172911.43115520052,1459085.580898468,97417.12756060885,664337.0062,83843.09760923618,811510.1379340679
48761.57005467809,165375.5776776377,1376419.9612804423,90853.62472376788,644526.7969,77457.26338033615,773064.2244736074
46118.043149260615,159205.68411112984,1325367.2714730685,87956.84518246682,629224.9801,76674.99875054418,759071.759969692
44443.77422685927,155069.2928403312,1277728.4171833366,86702.0219179372,619080.433,76292.1246244887,753736.6289031189
44033.98581502187,152170.67001243928,1241526.975609679,86813.34428858188,616227.2792,77150.85278330359,754177.3434491543
44335.280187364326,151224.13688834244,1221442.9846900816,89059.67317376005,633006.6863,78295.39449057051,765000.6284174926
44645.35716787831,149004.04769112833,1229495.7054380246,93827.8085149544,692113.214,79832.26812652354,802163.5212426379
44004.42512301206,149811.35842767786,1293626.3886282318,102869.1183826926,767551.6168,82841.27687567023,862018.7780783811
42968.87209660552,160484.28104463016,1406565.4416488933,113041.89441801592,853287.3202,87203.8275240152,909040.5397893717
41899.23349165381,172695.3126944818,1414807.1115057592,119944.94753272184,906705.1436,92680.71784703292,924161.3945683092
41063.32513649621,179560.03597221724,1458416.0102820585,123885.67911268398,961162.8685,97411.01134969264,919686.7744645716
40169.5049051165,184505.12830674677,1515872.359785864,125866.15373837516,989583.735,99255.34340231236,911615.2388792428
39765.19705038624,186377.9549694848,1566208.3766739287,127439.41150636,982899.7626,97647.91427799032,902644.1931357004
40918.994327517605,185866.0346533541,1519314.5437824733,127824.0798911112,977451.1517,96186.22221002274,894794.4349917987
42907.12512960593,190033.35385299567,1473708.7194062723,126012.94326241229,956157.3628,94442.86371315464,891983.4176209541
44771.047542159424,192270.85469602843,1494572.0710019986,123990.55375322569,940773.3101,93750.54514152516,889450.0418700977
49197.811372497286,191883.97470305595,1515828.9677394568,124127.14895466415,932777.6254,93863.43583601336,891735.4851443963
54126.16308653477,190379.65286215584,1552911.7538607433,127913.43243345372,915315.8009,94798.07862058008,909936.5265021068
56636.67549625617,184507.15083561707,1639613.5098805225,133973.5388091398,898800.5486,97156.8640757382,949061.1551104836
57245.86167570217,183988.24700864684,1702815.9075158357,134265.29672028212,898052.7695,99358.08654619825,962893.8541443824
56995.99194186668,190936.4546606301,1726562.0031516925,131497.9044768928,877003.2926,103428.17843921338,949227.57315831
55630.73090812894,192525.4765026344,1673232.7053149675,123943.2164001144,836128.5551,100287.9552463691,926670.880229535
53101.85562530911,193192.2736248084,1631354.6041948795,118212.8059763074,795039.4,93620.03784672444,893299.5567505066
50960.40265332389,188541.20186832972,1567968.669107651,114468.83719940462,752711.3939,85929.86581709907,848581.6297628408
49319.24308776807,179771.212489659,1466002.4490719468,107422.3042732613,719100.9674,82120.56604417683,805650.8997300069
46627.16811369724,169925.45639594653,1378524.9538470851,89530.98334166926,693917.196,83067.9571793661,800367.5722351464
44327.566497373664,162048.01573728738,1317706.8994220593,86379.10429404267,673878.8198,81890.17069391975,778905.1475578042
42744.60950924707,157054.02312294694,1260699.7451123998,84801.2906517688,658205.5091,81139.72736535786,769240.809650668
