Australia,Brazil,China,Germany,India,South Africa,United States
52566.25522825037,154427.99526921703,1381740.560473604,105769.50697097108,686353.992,96170.90422136216,795308.4774800242
49820.82824033761,156318.92172747382,1336692.9544349192,104193.51876110368,668556.1929,92598.88517479648,774691.2416695605
47433.03207210384,155323.33185654212,1293474.4583638287,101895.58285815395,652910.9018,90065.98825259086,763218.4749410925
46263.972321256646,152765.66524099317,1261762.682876218,99616.43626267908,649006.9094,88861.4480224686,759211.9441247087
45842.85952032288,150202.14373311613,1245338.6428658925,99717.69367941118,662401.8322,88688.96533302919,760641.6706099203
45072.38105106716,142526.7962150547,1255321.537522628,99633.405098124,715704.3483,87968.24495431791,771351.529948194
43553.2418055788,135857.01127644748,1319520.5278333193,98199.85030913596,772970.1249,88266.40931425293,790660.497190367
42437.35059791954,136882.1824809852,1430149.2040004532,99644.07065270396,833370.6574,92440.46515082002,807126.2509763509
41530.891947502496,139473.64548203957,1441246.67661437,101350.14383692574,886970.4518,98410.45633179838,814622.4965436845
41712.06502776701,142227.02784808664,1483160.9994729958,105709.07377515882,936882.7025,104158.19073367576,815693.1792096664
42471.183243690255,144987.3328346804,1534128.1106424916,109419.77812163476,958814.7442,107478.06784561966,815388.3448910839
44393.69420432884,146575.7501033729,1578345.0010346277,112579.47829776736,951084.6206,109219.09395698908,812127.5271049323
46841.79352097865,145522.20717921073,1532192.482134574,114107.17935722126,935072.2105,109344.01623174032,805165.6495506156
48809.28235237641,144436.19798244804,1485831.5609521945,112513.78594447392,910599.8656,107466.2688640693,796399.809594359
52088.137152099895,144502.45642781738,1503801.3659847304,108518.39012266208,882500.1826,105159.94342847602,791955.2730358632
56712.8582744172,144867.94793123688,1524283.811844883,108609.59814608732,863224.1162,103994.61220784248,794547.4283894895
62076.47399370292,146767.05945397253,1560222.8786492392,114756.82544804762,839235.708,104559.81758448204,816907.6271700533
67949.01745114068,150303.7694276247,1644308.2510126866,123737.70898820208,822560.9316,106712.3701706301,867171.7914669329
70307.27643695657,159990.9526746992,1703533.5516792105,125891.79137016022,828737.9475,107687.31458002872,892720.8475497758
69169.33124179846,173632.7001845099,1724787.4430616854,123311.81461073802,808693.1133,110571.16824827746,888886.560547008
66380.00339028529,178039.4194168538,1675580.332676615,119229.07589636884,762232.5313,107196.53979848092,875544.081749313
62764.054325724894,178946.15145239362,1634943.6715550197,116370.7822512329,724816.5977,99960.14007469696,851997.054737296
58946.41556704557,177243.58733435156,1573732.4190629586,114543.47979406262,693030.2043,93842.7676172832,816452.8920128142
56071.15919378709,170992.60168724987,1477149.7834900806,109108.86714053062,664337.0062,89288.83681041728,781902.4999366618
52588.823515102646,165111.37226045295,1403550.919463826,112172.53914552748,644526.7969,83503.25726058682,758089.0772335505
49560.421113418335,158968.04766621382,1352901.4172418106,109592.57560350234,629224.9801,82112.99660462375,743874.0701487464
47583.643515009375,154852.5393684853,1305279.222852477,108350.84332486676,619080.433,81252.24307424424,738529.7435182058
46906.92225587647,151972.34362022355,1269279.2708801213,108620.49182384016,616227.2792,81689.29172375183,738859.2442830531
47014.18211655047,151039.2052110662,1249402.5932633914,111029.72297485235,633006.6863,82527.31297653733,749568.1010320017
47188.776861309605,148828.4687105023,1258108.868184719,116311.4069123844,692113.214,83850.16243647833,786370.2594551536
46504.83081117362,149638.74881746966,1323367.9809391685,126239.41208769198,767551.6168,86791.2210445343,845602.6706560194
45601.237421530604,160302.56191208612,1436961.0755597174,136926.11972845352,853287.3202,91362.23114417044,892263.4289260982
44916.32222819236,172487.03508847443,1445601.06378797,144142.16272043594,906705.1436,97446.8772419902,907164.4287253618
44678.803434805406,179310.44995393947,1489041.9242791836,147950.85348580137,961162.8685,103122.4594917584,902782.5586839007
44511.99024364654,184205.3550718804,1545370.8042410037,149045.3871684465,989583.735,106115.26006404257,895333.3388415616
44867.85270740617,186025.7051693204,1593935.649893318,149226.89726036257,982899.7626,105708.6881970364,887339.9050888468
46731.20360148532,185464.80249251795,1545203.5700008185,148167.1112975591,977451.1517,105367.89310391928,880504.7819356504
49286.4981569031,189592.96887993795,1497949.728678044,145060.9989436335,956157.3628,104520.49527889796,878603.4005703698
51567.36517463232,191801.68693539407,1517621.0094714127,142101.90623184148,940773.3101,104486.83298842746,876727.9977397918
56248.9253066178,191397.21768059972,1538567.4714914272,141994.5686119623,932777.6254,105002.23083233793,879184.7879149525
61253.59406054467,189887.62747282223,1576377.544031696,146352.337875426,915315.8009,106057.43327173316,896984.3977737701
63567.65614041167,184028.68693153444,1664475.8090335117,153509.79051054094,898800.5486,108105.88195292148,935338.2121894928
63836.13435138605,183533.30307570772,1728426.5239481546,154389.55979712098,898052.7695,109768.88078242529,948757.8715745708
63095.72965328107,190515.3736521664,1752071.5246621796,151542.7293719896,877003.2926,113064.06413523277,935147.3907312508
61240.27705142037,192138.23471310287,1699095.3461012729,144265.51471030226,836128.5551,109149.47487239396,912395.7908215676
58249.971986883415,192836.88555211088,1657189.891412964,138513.61044996788,795039.4,101752.62700987956,879039.5653611524
55662.31594032156,188216.6163726464,1593857.068108948,134811.37575239356,752711.3939,93357.5784712549,834292.32290411
53571.74637258815,179477.6509536742,1492278.097816811,128069.13521751648,719100.9674,88838.33613743739,791147.8473083881
49312.74031304475,172152.64157589155,1507895.5377021611,119813.45985002285,693917.196,88898.6562435445,752836.1436206899
46743.07272286492,164051.2311670517,1449000.0328962246,117111.6024529242,673878.8198,87134.52416611864,730667.3641658205
44947.84631000643,158881.20034490095,1392072.31923982,115552.38391661888,658205.5091,85923.21847964339,720973.839347512
44620.44854708613,155961.72657361807,1349987.7146677354,115497.5002795148,658227.3311,85391.08124701424,717982.0510292905
45741.55567237709,155315.86222061014,1325653.7758038423,117483.96736012964,676641.0923,85561.9879919463,725120.8958620081
47528.68258634776,152494.78179449213,1334734.2720382086,122252.99523675484,730818.4131,86503.21148668512,755642.6111474888
48648.99361740004,152583.32872584334,1407260.9504807796,130954.65651988152,804288.4141,90044.94937348754,809391.8044844622
48585.09091799315,162424.1039041577,1531668.8586963508,139805.84455132377,887895.098,96785.40020038276,851838.470869905
47600.0079383186,174613.19172768385,1544138.598886461,146291.98022247746,935242.2029,104300.09704442024,870701.7567081627
45210.676709904605,181473.4926002181,1595194.9911863054,149961.03310160106,978322.5191,109765.27118507407,876904.2494668431
43786.24077579778,185773.76686936352,1660408.371333439,151324.52367478146,1006284.5,112382.82756510556,879761.777721306
44276.31458336719,183906.0880605478,1714143.3575007345,152702.4505892763,999687.8152,112503.57232573631,878821.2707529995
46051.348014268566,187610.74829610792,1656990.072513752,151465.48391893614,990480.2054,112943.69891755596,875245.9273481718
48218.36285757609,190093.74982810617,1602389.1305897117,147560.44158415013,965090.9744,111151.03761746138,873017.0838321665
49976.86125141342,189616.91982118093,1622344.0984676376,144601.66724617855,955110.1179,109038.08093521284,870257.1872600733
53927.455400549545,186753.2198527465,1645254.608393649,143348.06283328973,941265.736,108921.27806596512,868478.9170167621
59478.81643100824,181028.8427850794,1688716.8847230626,145630.6612403759,921208.4024,110500.55293628108,880358.1241532471
63142.86451538144,180679.19677239057,1789212.454003033,150705.97809781673,907739.1079,112157.81786156724,908099.5370532448
63974.23966415639,190175.32862639916,1860156.206966544,150728.95525181296,913106.5245,114095.20187281836,916849.9750109038
63444.199568426746,191930.194052448,1888208.3272382508,146853.2880223012,901342.883,119759.6293863262,902678.6808622172
61639.267538036846,191870.6603245916,1830037.208225472,139570.35842942185,856101.7779,117971.84537331318,882922.2589427239
58278.43961458078,186463.51072077715,1783067.9530493768,132901.20534572948,812725.1208,108808.7046937119,856865.6497404713
55550.67186388843,178031.0360194244,1711667.2001680774,129769.29131364707,770984.7968,101178.0885698043,821263.2991808909
53509.061014316736,169094.83767335408,1596586.1985375006,123896.68122438272,734066.341,95333.89470296777,783688.2079796556
51773.19658768031,161046.25903316998,1608372.567054011,115107.59700895046,704913.9967,94342.64635897116,745824.7849434234
48948.415563937575,155845.61967988615,1546068.7563338124,110840.5221815659,685245.7602,92108.46633862855,725432.2042352617
47107.31217768641,152723.1635155428,1486072.575204246,108996.2100084729,669275.7441,91583.34693697144,715345.0287790353
46449.61497914499,151748.13568564528,1435992.3199645283,108330.31197692775,663783.4372,91652.93819330966,709941.3069549039
47404.34318195283,147495.508879997,1398901.9930358697,110099.92744246978,681772.1132,94419.97836867392,714645.0424521618
49231.46417619468,144628.13248155997,1386414.2626219706,111569.6859601196,736417.1214,98825.95082685296,728585.1286339023
50829.063793921945,150354.74631385284,1420282.0967723369,113118.32932685214,812222.3307,103045.28172187768,753182.1957219276
50988.98816587723,157891.45184261454,1475327.6767844392,119315.8226874563,891264.1143,108703.08527707295,781049.1314297536
50003.15555331515,163694.59482346557,1577458.2081557908,125928.33239931548,937275.6017,116149.77630579151,807139.5391677426
48765.48619684155,167127.03745436404,1742704.223327384,132717.97463330664,982822.3182,121304.9042753656,825901.0183942871
48297.200290730136,167957.6805526368,1844656.4470605964,137654.31305498024,997437.1865,123436.49909867618,834861.5054506279
49002.350537491046,167334.19536180448,1914592.475542653,139902.98749929952,989800.4962,124103.88800362068,833593.1268820796
49964.74660437554,167277.66366826076,1877743.715833918,140416.4063415778,979841.2533,124983.75719207853,826656.4027132423
