Australia,Brazil,China,Germany,India,South Africa,United States
24974.837809788907,146075.66051286837,1225430.666602878,55761.75015144341,846749.0761643014,90502.3689885842,540592.1777225347
23738.14320651794,147958.4396745366,1186446.65624385,54715.30686816181,825152.3618446228,87068.41031371182,526205.3582527576
22650.751613782933,147077.2682704277,1148767.4199919582,53342.00867915538,806122.42531979,84624.57313559114,518269.5645008469
22161.8473462128,144702.31019018762,1121262.3133627651,51930.55497218302,801615.338275471,83425.63363341657,515432.3052829807
22021.553210256065,142305.88928720195,1107094.33670949,51935.52167830708,818479.4978320032,83207.42388673931,516350.7227143479
21684.53836479229,135033.7340071227,1116291.6993310682,51710.81829332672,884784.1514901627,82497.29132023698,523533.4143227793
20938.04465930681,128698.02858059669,1173128.8680504842,50555.58686098794,955889.4875009496,82761.49272743463,536499.9976187382
20329.856094288945,129644.52304617738,1270101.8887930228,51241.265956573625,1030663.4916480698,86679.32126128541,547661.1022772152
19734.26030695466,132025.95242287102,1280079.5173189095,52151.2034087255,1096680.8284986485,92341.3667558741,552708.4647624226
19606.203232652544,134514.8366376745,1316507.6139053002,54792.6253973918,1157853.43106458,97860.70303340326,553505.1447710587
19721.068692352783,136982.26617971214,1360109.9331502845,57304.06849403364,1184148.0578853406,101162.54681789808,553674.234957088
20407.535395164323,138327.62848058244,1397341.5741380516,59659.148909968746,1173598.2654400228,103007.26745424268,552016.932357411
21376.23937586571,137170.68292409315,1355709.7639716784,61059.977677359566,1152836.277012569,103335.23181923592,547823.9860822521
22155.89837426147,136013.89446123858,1314039.138482029,60550.82168430987,1121757.4390307388,101759.84742113354,542320.028198977
23648.507546402165,135986.02816912267,1328815.2758770057,58489.09052072534,1086367.5499071092,99741.38061379491,539649.4434742113
25875.742630177072,136278.17768624733,1346445.188872529,58626.30553775253,1062129.867397292,98734.67405102638,541545.7599902758
28539.029301153623,138068.19763551146,1378334.874207524,62093.9481020088,1032270.5874397442,99282.63803569991,556756.5374747295
31557.482590481133,141475.56032230746,1452716.803358578,67070.88520775126,1011829.566671429,101224.0680889532,591029.6025242652
32865.418102223004,150765.42565708913,1504930.702233197,68154.24892279485,1019923.2942534988,102028.2170241946,608437.490807402
32473.94561662131,163850.00137768645,1523390.703496157,66644.38230005342,995671.9000551734,104561.3318589642,605821.2175893248
31253.76061384663,168149.05835967706,1480741.482234721,64118.06861534515,938645.394516552,101279.33340917184,596479.7063729174
29608.29116450112,169112.24589402686,1445280.8473815315,62422.72396163209,892804.5315024283,94417.66825494014,580212.794018067
27856.05151395139,167589.84486202747,1391937.14123489,61320.04355146471,853929.1737891365,88600.3206519949,555626.1413999781
26577.82888191016,161741.15017795542,1307996.377639263,57979.3238262846,818895.6657112527,84234.72400443906,531613.8437989935
25413.24971017105,155407.2872518156,1207548.694872237,54031.69828451492,794482.3127603827,80386.59960542704,523075.7394332229
23991.622483750616,149730.5758238975,1163130.7417380523,52304.80811169961,776019.7060997778,78813.47619426505,513236.2663659908
23076.703517921444,145947.10625398147,1121588.2868161427,51557.27202404159,763843.9817872404,77792.56394156697,509541.6017367773
22805.044369004878,143323.32462541503,1090069.3091598938,51622.927238476055,760666.5520955457,78003.53976146526,509762.4592833215
22908.210455037464,142520.07924035605,1072608.2297729624,52960.35866448186,781748.7206979416,78640.37474418458,517157.5140585216
23030.27066166225,140475.94389098004,1079803.267683341,55798.53956349007,855267.6798887847,79770.49885053701,542573.4460869045
22698.038000858745,141265.50190437786,1136030.1133100605,61180.64325722022,948924.4138387748,82471.81097885998,583477.3101009465
22211.09613053365,151352.7301246315,1234698.844754343,67238.29574954257,1055119.6164605566,86815.53027432348,615707.6661297504
21769.59231993988,162776.55793914926,1241991.4613591898,71349.05263631445,1120873.9110833437,92750.44121879993,625993.8649868093
21498.230239031396,169007.30608269712,1279979.446906515,73697.04330282306,1187628.2362082652,98461.44304651627,622970.7918457538
21229.63412673598,173347.44055330858,1329791.4486077337,74880.46815664561,1221903.2913921073,101773.68984045212,617860.3639148254
21214.85800918781,174748.26070506114,1373224.161045052,75823.42160506798,1212577.852035594,101951.57094072734,612395.806732943
21969.342486875317,173905.78752755732,1331843.0262369574,76058.56713935218,1204853.9045514525,102153.57112867635,607734.1913439906
23107.22555679771,177586.09157618703,1291635.280931004,74985.07924466593,1177663.843734938,101780.7675329596,606476.3527796519
24145.618346368352,179505.7829649953,1309516.7544424871,73784.26168696117,1158010.1683618128,102054.26081807274,605220.8590168757
26429.805657567453,179010.0885903725,1327973.5955723643,73866.64353725396,1147743.656674147,102719.40168187632,606929.6659968845
28921.505783799435,177540.76746162164,1360505.775890588,76119.70738397725,1125974.6804659846,103755.6528828234,619208.1717282323
30132.556791891657,172052.57190891224,1436487.9162549814,79725.07194472161,1105750.6143454476,105515.41905214582,645671.196389444
30353.917655435645,171729.61859233526,1491805.0943599406,79896.42434493,1105285.5777144432,106811.58842920676,654921.4818073652
30107.173033089803,178585.3197033358,1512487.9408083349,78248.25544426423,1079835.211903419,109514.82238934012,645517.1354730779
29300.861994949293,180342.5617270624,1466071.3274107298,73746.87408059814,1029786.6846899282,105519.17743780008,629778.7310328545
27917.820002563927,181208.0660694145,1429541.3569822148,70333.43344501457,979433.0588656644,98308.9337203912,606723.2474662242
26732.935970314447,177006.96052743462,1374275.141946637,68103.0271559469,927521.6790470396,90182.31860516996,575791.333873385
25798.28237269769,168889.06319341858,1285450.2382778337,63904.23565415293,886430.773794484,85654.65585842052,545955.8400102875
24305.298686893348,163628.223266953,1289936.7034924782,59173.39279784773,855429.4770276705,75783.96374955287,529375.3133005821
23059.958685303725,155935.64993708985,1238199.2421942367,57382.66139731194,831123.5634527776,74830.44090107076,514185.625437094
22193.78089894085,151028.65893992753,1188535.960163647,56446.3652905901,812114.4639166471,74243.8518560197,507490.81496475096
22060.02406326329,148261.32748185995,1151646.4629861794,56323.08338884212,812527.2954656112,74224.9492520423,505489.6874474288
22644.725642925467,147654.1853566386,1130232.2980625583,57413.18891048043,835654.117282282,74729.42692094835,510492.96710546897
23556.91114326132,144975.52528166544,1137546.2220460237,59960.20212392273,903069.0648966404,75845.35069122812,531806.9588930511
24123.94843194832,145061.37538913015,1199753.0279787218,64636.33232860376,994287.2932518456,79212.86994169153,569333.7532252275
24076.79924349043,154418.12587342886,1307645.9484836592,69614.8154125571,1097829.4956022145,85240.83018196482,598890.6464179308
23538.548449632348,165999.38381276856,1318152.1199968243,73299.43954790056,1156018.2506614148,91537.896536972,612061.441185669
22271.284728597173,172503.2571349953,1362835.1166445098,75560.5949393689,1208604.3162486134,95549.9508968114,616292.9634712127
21473.456797811126,176566.90693831173,1420753.409422717,76879.71138833583,1242246.8149880455,96686.9401018851,617894.066949784
21632.44937176349,174761.63100651698,1469257.39386549,78496.8315838652,1232963.5869966925,95444.87718170656,616656.3334179107
22441.961364601702,178259.31754891085,1421115.5275785888,78586.45095539029,1220514.0684556128,94589.7497374624,613575.0995728883
23464.42955915168,180600.16116907497,1375023.4094639828,77001.2065992887,1188193.3808496385,91913.64482452087,611487.7047813783
24299.09648007419,180130.9013415864,1393530.7317174613,75774.65116620413,1175207.337626631,89207.54777976016,609184.5103233056
26252.19189098852,177397.05385483368,1413799.0125099877,75167.46503604636,1157662.049140442,88645.0939115838,607852.3423027799
29028.88150102604,171948.49064771843,1451029.7102956015,76200.19548899813,1132666.1249863226,89976.55425718104,616304.7614852637
30889.78853543825,171623.23679996116,1537380.4570964654,78595.63327523526,1116238.3341094735,91866.42043967002,635943.4557689648
31345.883999343278,180669.85592605863,1598558.8450370685,78272.88179300644,1123390.1943725871,94273.56316250128,642240.1913953015
31136.0131564818,182357.6942115345,1623117.326580572,76009.64955742857,1109503.644301828,100410.69524845706,632411.1980245952
30286.42168644794,182319.4499624829,1572057.9950859384,71512.54422767424,1054080.271974,99622.81802686032,618872.3632202875
28652.86608326019,177192.84622860327,1531120.4602659417,67552.11567716715,1000928.6017073552,91930.7149504818,600852.493170259
27335.2098417198,169187.62659924568,1468801.1750361032,65662.59702477456,949785.1660479018,85635.46648057403,576261.1324942724
26362.201766891736,160703.32615026247,1368077.9296951722,61990.2556157988,904628.9773623868,81005.827485706,550417.0384306838
