Australia,Brazil,China,Germany,India,South Africa,United States
27409.42661300455,148268.48749221195,1272387.7424482077,51419.19194376474,851576.5552,84330.1644797704,546090.1615748405
25927.90537791199,149930.75202618985,1234101.5515284203,50308.21479676186,829494.3809,81516.89379903118,531785.046511475
24648.08225611853,148876.2581094503,1196451.149503514,48932.25003819582,810082.8772,79560.91179781909,523852.6288240127
23989.376921554514,146348.360707246,1169294.772264061,47488.54607614659,805239.0963,78792.45440002155,521056.2006953722
23725.65373799741,143840.76762386778,1155485.6044084956,47460.33039044937,821858.5118,78887.16374798211,522016.6293665868
23302.45606257108,136490.9877221487,1165814.1100100316,47131.019677537166,887992.2759,78395.5231300892,529331.7612031733
22528.60032927793,130130.63739759848,1224604.315267121,45795.17276406181,959043.3565,78729.09314326324,542527.0163905094
22004.353801928308,131152.73820978557,1322709.3226060898,46376.16651464215,1033983.807,82434.11061732001,553820.6600522392
21653.487902471672,133754.5950771836,1333376.3431486306,47222.349465340616,1100486.412,87475.71338441204,558948.7402164596
21906.077822708125,136586.32692117515,1369513.6064203863,49890.66751971794,1162413.789,92030.02793307503,559711.3679158582
22483.406304072025,139470.29554755974,1411164.5506922326,52582.57243714632,1189625.421,94159.4288213806,559651.9807553114
23653.43182133612,141251.19785133746,1445330.7259677297,55221.145022249366,1180034.464,94778.22420459884,557635.7571478321
25073.49636881601,140500.7914307123,1400517.35828809,56916.20204903918,1160167.466,93961.89277652372,553070.297220189
26213.939030411468,139668.9597528909,1355994.417143697,56670.826253849285,1129804.016,91471.8444525188,547232.3750699924
27971.77460519793,139879.98210208793,1368707.3705294344,54799.89693411855,1094940.037,88780.97185899386,544320.2218028307
30361.090468180817,140318.11730065942,1385799.996692937,54986.79986931919,1071023.74,87363.35577635147,546153.6299228054
33072.92386142976,142151.86313998638,1418948.4375538742,58338.03358480804,1041260.722,87788.24341330586,561511.7891901117
35966.41135520776,145446.66950202885,1495747.3833744072,63091.446644659845,1020571.91,90046.48854667426,596067.8513892851
37057.61604057909,154541.32601851108,1549256.437068268,64055.03532922584,1028235.888,91400.09658644958,613627.3832778686
36354.104923633706,167344.84946099715,1567541.4676619302,62561.3498741228,1003365.761,94724.29624209728,610990.623564474
34822.09973034295,171363.05091388788,1525503.4097993302,59978.51621694884,945720.9558,92232.82881885872,601720.6706049944
32883.106010484626,172061.86200050966,1489995.432586579,58287.54975221763,899298.0716,86115.3106119524,585448.2151552277
30847.02808777505,170283.80867102975,1436743.6499914648,57176.36831497438,859859.8988,81017.55387416064,560872.3254348034
