Australia,Brazil,China,India,South Africa,United States
24806.02409,57629.7245,630670.7936,131785.85,40861.899,403531
23573.11302,58322.8445,610595.3803,128368.52,39418.26,393423
22489.88908,57943.239,591195.4743,125364.49,38403.616,387732
21999.79218,56982.8525,577032.098,124614.89,37958.651,385807
21856.4052,56022.4025,569735.496,127186.83,37942.483,386583
21519.70472,53159.692,574464.6056,137421.37,37668.849,392109
20779.92875,50674.201,603717.2408,148416.89,37812.283,402056
20181.1249,51059.871,653639.019,160014.31,39596.213,410440
19600.70377,52036.2665,658772.3198,170305.93,42087.891,414289
19487.98747,53079.1765,677529.5152,179889.51,44417.232,414767
19618.69228,54128.4005,699989.7152,184100.65,45646.27,414256
20315.85977,54742.104,719176.0735,182616.4,46175.178,412072
21291.15822,54370.3075,697758.9939,179541.88,46013.242,408029
22076.03297,53982.283,676320.0968,174842.98,45019.526,403151
23562.96136,54019.0715,683939.3077,169447.6,43884.349,400564
25773.11542,54162.6035,693019.3359,165746.43,43297.306,401752
28410.62815,54872.167,709431.233,161140.45,43521.03,413086
31393.2432,56183.7515,747714.4803,157938.75,44521.716,438488
32679.66323,59781.964,774590.415,159124.79,45051.771,451412
32280.75259,64848.75,784095.81,155276.01,46461.804,449476
31061.71354,66475.8485,762133.788,146355.18,45136.57,442964
29422.46483,66800.17,743876.5878,139171,42114.838,431264
27677.90748,66153.07,716411.233,133067.74,39577.511,413633
26402.38661,63811.7625,673189.2844,127558.4,37724.438,396602
24911.74244,61208.859,643633.6447,123754.67,36610.156,383722
23528.81256,58949.752,621089.9401,120816.59,35990.852,376773
22642.2141,57439.713,599714.609,118868.75,35605.467,374124
22390.0015,56387.096,583649.2719,118320.92,35788.347,374342
22504.19217,56054.182,574826.5672,121542.71,36148.684,379715
22633.43246,55240.992,579058.7909,132891.67,36722.689,398164
22307.31859,55546.037,608919.2717,147376.49,38006.719,427878
21817.19221,59507.943,660248.5535,163838.48,40008.417,451222
21356.28143,64017.16,664324.9141,174095.16,42679.317,458728
21050.43599,66513.46,683747.9327,184551.51,45177.946,456507
20739.31246,68281.756,708483.9896,190008.56,46508.026,452504
20677.31549,68902.394,729415.7802,188725.18,46353.478,448057
21379.77274,68639.926,706625.6683,187679,46226.136,444167
22470.53463,70134.705,684593.3053,183590.41,45873.058,442778
23472.19749,70925.9,692837.2635,180636.54,45871.037,441525
25716.86763,70756.02,702089.3812,179101.3,46104.038,442661
28178.02593,70187.995,719426.3687,175748.48,46567.519,451695
29388.78695,68020.589,759674.6467,172577.41,47456.779,471115
29629.08992,67861.792,788759.8298,172433.83,48173.194,477980
29415.46888,70499.371,799327.0831,168392.15,49598.367,471195
