Australia,Brazil,China,Germany,India,South Africa,United States
25065.4176,147193.9645,1224922.979,52694.2057,851576.5552,86876.29611,561779.7782
23819.61413,148964.285,1185931.424,51602.17627,829494.3809,83806.98185,547707.8233
22725.06305,147994.7221,1148251.876,50226.99444,810082.8772,81649.7519,539785.0399
22229.84127,145541.7676,1120742.999,48792.75944,805239.0963,80703.71385,537105.1316
22084.95491,143088.6508,1106571.143,48774.2864,821858.5118,80669.33914,538185.4479
21744.7336,135776.9083,1115756.276,48475.68933,887992.2759,80087.56715,545878.5249
20997.22188,129428.6344,1172572.329,47192.87273,959043.3565,80392.52152,559726.3419
20392.15641,130413.6868,1269533.111,47804.60303,1033983.807,84185.32691,571398.2126
19805.66589,132907.5304,1279503.286,48669.50487,1100486.412,89482.87208,576756.6371
19691.77093,135571.261,1315934.527,51329.926,1162413.789,94435.2733,577422.0896
19823.8425,138251.1183,1359557.944,53968.84572,1189625.421,97048.32536,576710.6958
20528.30019,139818.5985,1396822.728,56524.18248,1180034.464,98172.83423,573670.218
21513.79721,138868.9809,1355225.316,58132.85147,1160167.466,97828.54285,568041.7145
22306.8793,137877.9148,1313585.529,57810.02746,1129804.016,95715.80781,561250.7573
23809.35632,137971.8776,1328383.973,55883.07702,1094940.037,93302.3132,557649.239
26042.62168,138338.4773,1346019.695,56055.39114,1071023.74,92054.20377,559303.1252
28707.71455,140150.7967,1377895.771,59440.80353,1041260.722,92529.86234,575081.8684
31721.51844,143500.7576,1452251.568,64259.84524,1020571.91,94657.41626,610445.5206
33021.3904,152691.0698,1504451.464,65258.60094,1028235.888,95784.36376,628437.7984
32618.3084,165632.3137,1522913.357,63760.16455,1003365.761,98782.22846,625742.5763
31386.52201,169788.1392,1480257.528,61193.92566,945720.9558,95964.65453,616676.8294
29730.13188,170616.4993,1444797.405,59501.67372,899298.0716,89540.16398,600388.5556
27967.33192,168963.72,1391452.705,58392.98826,859859.8988,84145.56467,575843.38
26678.47308,162983.71,1307504.695,55008.48439,824259.5306,80205.75467,552133.5005
25172.24143,156335.549,1250100.131,53265.05304,799680.5087,77836.68481,534202.4777
23774.85043,150565.4899,1206314.526,51526.76991,780695.1621,76519.98542,524528.3568
22878.98092,146708.6499,1164798.2,50778.76306,768108.5689,75700.62014,520840.5246
22624.13096,144020.1264,1133595.233,50838.72474,764568.5896,76089.44047,521144.0155
22739.51571,143169.8199,1116459.298,52170.29807,785387.2195,76855.55131,528624.092
22870.10745,141092.8247,1124679.352,54990.01135,858722.166,78075.94071,554308.0546
